rows,positive_rate_true,positive_rate_predicted,precision,recall,f1,fpr,fnr,pr_auc,roc_auc,brier_score,ece,scenario,group_feature,group_value
34,0.3235294117647059,0.7647058823529411,0.4230769230769231,1.0,0.5945945945945946,0.6521739130434783,0.0,0.7046022817761949,0.766798418972332,0.17921876113779178,0.20601187836442897,historical_label_bias_minority,project_key,SVN
750,0.23333333333333334,0.32133333333333336,0.45228215767634855,0.6228571428571429,0.5240384615384616,0.22956521739130434,0.37714285714285717,0.5028363908118993,0.7598807453416149,0.15164265977581218,0.03858029329152628,historical_label_bias_minority,project_key,UPM
84,0.39285714285714285,0.5714285714285714,0.6666666666666666,0.9696969696969697,0.7901234567901234,0.3137254901960784,0.030303030303030304,0.7632060360700431,0.8882947118241236,0.1450970634793715,0.12150142067535806,historical_label_bias_majority,project_key,PLVS
92,0.21739130434782608,0.6086956521739131,0.25,0.7,0.3684210526315789,0.5833333333333334,0.3,0.26597933625154024,0.5611111111111111,0.18018877583570506,0.07537071194359926,historical_label_bias_majority,project_key,REFAPP
82,0.2682926829268293,0.7682926829268293,0.30158730158730157,0.8636363636363636,0.4470588235294118,0.7333333333333333,0.13636363636363635,0.4067443558354483,0.6848484848484848,0.18411802184141596,0.10454381116119299,historical_label_bias_majority,project_key,REST
54,0.4074074074074074,0.9259259259259259,0.42,0.9545454545454546,0.5833333333333334,0.90625,0.045454545454545456,0.5979852719556971,0.671875,0.22304407753286362,0.07071380514495068,historical_label_bias_majority,project_key,SAL
25,0.48,1.0,0.48,1.0,0.6486486486486487,1.0,0.0,0.6634210628695923,0.6474358974358975,0.2279698334993329,0.08248145964386769,historical_label_bias_majority,project_key,SCANNER
57,0.40350877192982454,0.9649122807017544,0.41818181818181815,1.0,0.5897435897435898,0.9411764705882353,0.0,0.6988461276917136,0.7468030690537084,0.20650219254519075,0.13314550551103674,historical_label_bias_majority,project_key,SELENIUM
24,0.16666666666666666,0.75,0.2222222222222222,1.0,0.36363636363636365,0.7,0.0,0.33749999999999997,0.7,0.15108107365131385,0.1422014999954576,historical_label_bias_majority,project_key,SOY
25,0.08,0.04,0.0,0.0,0.0,0.043478260869565216,1.0,0.16666666666666666,0.673913043478261,0.07940615629502817,0.07033158641848157,historical_label_bias_majority,project_key,SPEAKEASY
120,0.18333333333333332,0.24166666666666667,0.41379310344827586,0.5454545454545454,0.47058823529411764,0.17346938775510204,0.45454545454545453,0.6042092946311385,0.8232838589981447,0.11756354401542499,0.07594473357031475,historical_label_bias_majority,project_key,SPFE
455,0.23736263736263735,0.35604395604395606,0.3765432098765432,0.5648148148148148,0.45185185185185184,0.2910662824207493,0.4351851851851852,0.4508788720583766,0.7222889315828798,0.16104452428786972,0.03376171913088545,historical_label_bias_majority,project_key,STRM
34,0.3235294117647059,0.7941176470588235,0.4074074074074074,1.0,0.5789473684210527,0.6956521739130435,0.0,0.6549153876426604,0.7470355731225296,0.18423351066227028,0.22138890223751187,historical_label_bias_majority,project_key,SVN
750,0.23333333333333334,0.6933333333333334,0.3,0.8914285714285715,0.4489208633093525,0.6330434782608696,0.10857142857142857,0.4806431398351108,0.7479950310559005,0.1626809007883417,0.09924527707914606,historical_label_bias_majority,project_key,UPM
