rows,positive_rate_true,positive_rate_predicted,tp,tn,fp,fn,precision,recall,f1,specificity,fpr,fnr,pr_auc,roc_auc,brier_score,ece,model,threshold,group_feature,group_value
25,0.48,1.0,12,0,13,0,0.48,1.0,0.6486486486486487,0.0,1.0,0.0,0.43911341216328426,0.41666666666666663,0.358793056652064,0.3580249013502156,logistic_regression_balanced,0.25,project_key,SCANNER
57,0.40350877192982454,1.0,23,0,34,0,0.40350877192982454,1.0,0.575,0.0,1.0,0.0,0.6167602652956655,0.6521739130434783,0.32836903457243094,0.3077301056739353,logistic_regression_balanced,0.25,project_key,SELENIUM
24,0.16666666666666666,0.9583333333333334,4,1,19,0,0.17391304347826086,1.0,0.2962962962962963,0.05,0.95,0.0,0.170822192513369,0.41250000000000003,0.29240511765855093,0.36155746540444933,logistic_regression_balanced,0.25,project_key,SOY
25,0.08,0.0,0,23,0,2,0.0,0.0,0.0,1.0,0.0,1.0,0.2777777777777778,0.8043478260869565,0.0693887267067383,0.0033256888969595867,logistic_regression_balanced,0.25,project_key,SPEAKEASY
120,0.18333333333333332,0.8416666666666667,20,17,81,2,0.19801980198019803,0.9090909090909091,0.3252032520325203,0.17346938775510204,0.826530612244898,0.09090909090909091,0.2551834993948223,0.5589053803339518,0.19308933236439682,0.20433743318434502,logistic_regression_balanced,0.25,project_key,SPFE
455,0.23736263736263735,0.8835164835164835,104,49,298,4,0.25870646766169153,0.9629629629629629,0.40784313725490196,0.14121037463976946,0.8587896253602305,0.037037037037037035,0.44190373384986836,0.7024362258512115,0.21053713283339748,0.2125878831926207,logistic_regression_balanced,0.25,project_key,STRM
34,0.3235294117647059,1.0,11,0,23,0,0.3235294117647059,1.0,0.4888888888888889,0.0,1.0,0.0,0.34003995027455436,0.5098814229249011,0.30743721829948045,0.26754747095358405,logistic_regression_balanced,0.25,project_key,SVN
750,0.23333333333333334,0.844,168,110,465,7,0.26540284360189575,0.96,0.4158415841584158,0.19130434782608696,0.808695652173913,0.04,0.46983578204791954,0.7418335403726709,0.1881577132562192,0.18154042472582926,logistic_regression_balanced,0.25,project_key,UPM
19,0.0,0.05263157894736842,0,18,1,0,0.0,0.0,0.0,0.9473684210526315,0.05263157894736842,,0.0,,0.01858224996498738,0.12123796082541471,logistic_regression_balanced,0.25,project_key,VCACHE
14,0.2857142857142857,0.5714285714285714,4,6,4,0,0.5,1.0,0.6666666666666666,0.6,0.4,0.0,0.5845238095238094,0.825,0.1806064287380784,0.21381694417449015,logistic_regression_balanced,0.25,project_key,VOTE
11,0.18181818181818182,0.5454545454545454,2,5,4,0,0.3333333333333333,1.0,0.5,0.5555555555555556,0.4444444444444444,0.0,0.8333333333333333,0.9444444444444444,0.1110228273565139,0.291474492432841,logistic_regression_balanced,0.25,project_key,WEBHOOKS
889,0.24971878515185603,0.9021372328458943,214,79,588,8,0.26683291770573564,0.963963963963964,0.41796875,0.1184407796101949,0.881559220389805,0.036036036036036036,0.40783871787687287,0.6847961154557856,0.21963159798410636,0.21071768054752454,logistic_regression_balanced,0.25,issuetype,Bug
