scope,group_feature,group_value,metric,rows,mean,median,p75,p90
group,created_year,2018,risk_scope_proxy_raw,82,0.0,0.0,0.0,0.0
group,created_year,2019,risk_time_proxy,151,0.411214953271028,0.0,1.0,1.0
group,created_year,2019,risk_effort_proxy_raw,151,745.2312116472743,477.23181964120374,815.5929860590278,1340.9604452314816
group,created_year,2019,risk_scope_proxy_raw,151,0.0,0.0,0.0,0.0
group,created_year,2020,risk_time_proxy,223,0.379746835443038,0.0,1.0,1.0
group,created_year,2020,risk_effort_proxy_raw,223,613.6611321852682,381.99610107638887,666.9462774363426,1093.0000000000002
group,created_year,2020,risk_scope_proxy_raw,223,0.0,0.0,0.0,0.0
group,created_year,2021,risk_time_proxy,557,0.08266666666666667,0.0,0.0,0.0
group,created_year,2021,risk_effort_proxy_raw,557,382.10849919525896,200.89042579861112,478.0191704513889,958.2034870023148
group,created_year,2021,risk_scope_proxy_raw,557,0.0,0.0,0.0,0.0
